Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2020-01-01,00:00,21.71,42.11,41.00,,,,,,4.00,5.00,-49.00,48.00,-49.00,48.00,-56.00,66.00,-63.00,51.00
2020-01-01,00:15,21.80,41.83,22.00,,,,,,4.00,5.00,-57.00,50.00,-51.00,53.00,-47.00,50.00,-53.00,61.00
2020-01-01,00:30,21.67,41.92,466.00,,,,,,0.00,5.00,-56.00,50.00,-62.00,49.00,-95.00,78.00,-68.00,81.00
2020-01-01,00:45,21.57,42.02,26.00,,,,,,0.00,0.00,-58.00,48.00,-49.00,47.00,-50.00,53.00,-58.00,60.00
2020-01-01,01:00,21.40,42.17,25.00,,,,,,0.00,0.00,-50.00,50.00,-49.00,49.00,-53.00,46.00,-53.00,54.00
2020-01-01,01:15,21.27,42.44,22.00,,,,,,0.00,0.00,-56.00,47.00,-49.00,52.00,-54.00,54.00,-55.00,50.00
2020-01-01,01:30,21.10,42.60,23.00,,,,,,0.00,0.00,-61.00,48.00,-49.00,42.00,-52.00,54.00,-49.00,53.00
2020-01-01,01:45,21.01,42.60,25.00,,,,,,0.00,0.00,-52.00,54.00,-50.00,56.00,-51.00,56.00,-51.00,52.00
2020-01-01,02:00,20.89,42.71,21.00,,,,,,0.00,0.00,-59.00,53.00,-51.00,52.00,-58.00,52.00,-53.00,57.00
2020-01-01,02:15,20.84,42.72,23.00,,,,,,0.00,0.00,-53.00,50.00,-50.00,53.00,-56.00,55.00,-61.00,52.00
2020-01-01,02:30,20.82,42.70,23.00,,,,,,0.00,0.00,-53.00,52.00,-43.00,46.00,-47.00,58.00,-51.00,51.00
2020-01-01,02:45,20.78,42.70,23.00,,,,,,0.00,0.00,-54.00,63.00,-61.00,49.00,-50.00,50.00,-58.00,54.00
2020-01-01,03:00,20.70,42.74,25.00,,,,,,0.00,0.00,-56.00,51.00,-53.00,51.00,-48.00,53.00,-51.00,63.00
2020-01-01,03:15,20.66,42.72,26.00,,,,,,0.00,0.00,-58.00,49.00,-52.00,47.00,-54.00,53.00,-65.00,52.00
2020-01-01,03:30,20.66,42.78,23.00,,,,,,0.00,0.00,-52.00,53.00,-52.00,47.00,-53.00,51.00,-55.00,48.00
2020-01-01,03:45,20.71,42.61,24.00,,,,,,0.00,0.00,-55.00,50.00,-49.00,47.00,-46.00,52.00,-55.00,50.00
2020-01-01,04:00,20.72,42.50,24.00,,,,,,0.00,0.00,-50.00,48.00,-45.00,43.00,-47.00,44.00,-49.00,51.00
2020-01-01,04:15,20.71,42.50,21.00,,,,,,0.00,0.00,-66.00,62.00,-58.00,49.00,-49.00,49.00,-50.00,57.00
2020-01-01,04:30,21.10,41.91,24.00,,,,,,0.00,0.00,-53.00,48.00,-61.00,54.00,-54.00,59.00,-53.00,53.00
2020-01-01,04:45,21.24,41.44,25.00,,,,,,0.00,0.00,-60.00,50.00,-52.00,49.00,-55.00,48.00,-69.00,56.00
2020-01-01,05:00,21.22,41.58,24.00,,,,,,0.00,0.00,-61.00,52.00,-46.00,49.00,-51.00,50.00,-51.00,47.00
2020-01-01,05:15,21.30,41.49,26.00,,,,,,0.00,0.00,-54.00,55.00,-64.00,49.00,-55.00,54.00,-65.00,60.00
2020-01-01,05:30,21.41,41.30,24.00,,,,,,0.00,0.00,-56.00,52.00,-50.00,55.00,-52.00,52.00,-50.00,53.00
2020-01-01,05:45,21.43,41.15,23.00,,,,,,0.00,0.00,-53.00,50.00,-53.00,47.00,-54.00,49.00,-60.00,56.00
2020-01-01,06:00,21.47,41.33,23.00,,,,,,0.00,0.00,-55.00,55.00,-52.00,47.00,-50.00,50.00,-62.00,50.00
2020-01-01,06:15,21.67,41.02,23.00,,,,,,0.00,0.00,-52.00,53.00,-50.00,46.00,-55.00,48.00,-53.00,56.00
2020-01-01,06:30,21.66,41.02,45.00,,,,,,0.00,0.00,-50.00,56.00,-59.00,46.00,-52.00,51.00,-68.00,55.00
